tconst	averageRating	numVotes
tt0002847	5.1	13
tt0002848	4.3	10
tt0002850	6.2	12
tt0002851	5.3	299
tt0002853	4.1	23
tt0002863	6.8	32
tt0002867	5.5	95
tt0002885	6.0	89
tt0002893	6.0	8
tt0002894	5.5	8
tt0002897	5.8	33
tt0002898	6.8	89
tt0002902	4.5	11
tt0002910	6.0	65
tt0002917	5.7	23
tt0002919	4.6	55
tt0002921	3.9	9
tt0002922	4.7	38
tt0002956	5.0	37
tt0002968	4.6	5
tt0002973	5.2	6
tt0002983	6.0	341
tt0002985	6.2	283
tt0002990	5.6	120
tt0002996	4.2	18
tt0002999	5.6	14
tt0003001	4.7	10
tt0003006	5.9	9
tt0003014	7.1	908
